n,pts_time,fps,frame_idx,Caption
1,0.0,25.0,0,a close up of a logo with a city in the background
2,4.0,25.0,100,arafed news set with a man and a woman standing in front of a tv screen
3,10.84,25.0,271,arafed news set with a man and woman on the screen
4,13.4,25.0,335,there is a red light that is shining on a building
5,13.84,25.0,346,there is a red and white picture of a knife and a red and white background
6,15.08,25.0,377,people are sitting in chairs watching a man on a stage
7,20.16,25.0,504,a group of people standing in a cave with a light shining through the cave
8,23.16,25.0,579,a group of people in hard hats standing in a dark room
9,25.12,25.0,628,there is a sand castle made of clay on the ground
10,29.92,25.0,748,there are many vases that are sitting on a table
11,33.32,25.0,833,arafed image of a soccer match with a player on the field
12,38.36,25.0,959,arafed asian news anchor and a woman in a pink dress
13,45.36,25.0,1134,arafed asian man and woman standing in front of a tv screen
14,52.36,25.0,1309,arafed image of a man and a woman on a news set
15,56.36,25.0,1409,arafed asian news anchor and a woman in a pink dress
16,63.04,25.0,1576,arafed asian news anchor and a woman in a pink dress
17,69.0,25.0,1725,arafed image of a man and a woman on a news set
18,71.36,25.0,1784,arafed image of a woman speaking at a podium with a microphone
19,75.76,25.0,1894,several people wearing headphones are sitting in a row
20,79.48,25.0,1987,arafed image of a man in a white suit speaking into a microphone
21,81.8,25.0,2045,people sitting in a crowd watching a man talk on a cell phone
22,86.92,25.0,2173,people standing around a table with a table cloth on it
23,91.12,25.0,2278,there is a table with a bunch of items on it
24,93.12,25.0,2328,there are two women talking to each other at a convention
25,98.0,25.0,2450,there are many items on a table with a sign and a picture
26,100.2,25.0,2505,several people are standing around a table with a cake
27,104.04,25.0,2601,there is a woman standing under a tree with red hearts on it
28,111.04,25.0,2776,arafed news anchor with a man and a woman on a news set
29,115.24,25.0,2881,arafed news anchor with a man and woman on a news set
30,122.2,25.0,3055,arafed news anchor with a man and woman on a news set
31,128.96,25.0,3224,several people are walking in a line in the woods
32,133.96,25.0,3349,a close up of a television screen with a tree in the background
33,140.36,25.0,3509,two people walking through a jungle with a flashlight on their head
34,147.0,25.0,3675,two people standing on rocks in a cave with a backpack
35,152.0,25.0,3800,several people are standing in the dark with flashlights on
36,156.52,25.0,3913,there are people walking in the dark with backpacks on
37,161.12,25.0,4028,there is a man standing in the dark with a flashlight
38,166.36,25.0,4159,a close up of a rock formation with a text over it
39,173.36,25.0,4334,a close up of a person walking through a cave at night
40,180.36,25.0,4509,arafed asian news anchor and a woman in a pink dress
41,184.88,25.0,4622,arafed image of a man and a woman standing in front of a tv
42,191.88,25.0,4797,arafed asian news anchor and a woman in a pink dress
43,195.4,25.0,4885,there is a pile of sand on the ground with a bowl in the background
44,201.96,25.0,5049,a close up of a person holding a clay object in a clay pot
45,205.96,25.0,5149,there is a man sitting on the ground in front of a building
46,209.24,25.0,5231,there are people that are standing around with pots and pots
47,212.12,25.0,5303,arafed image of a man in a suit standing in front of a flag
48,219.12,25.0,5478,arafed image of a man in a suit standing in front of flags
49,223.84,25.0,5596,there are many vases that are sitting on the table
50,227.52,25.0,5688,there is a glass vase with a picture of a man in it
51,233.96,25.0,5849,someone is making a vase with a clay and a wooden stand
52,237.08,25.0,5927,there are many people standing in a field of tall grass
53,240.6,25.0,6015,arafed group of people in white and pink outfits walking down a street
54,242.4,25.0,6060,there are two dolls that are sitting on a table
55,248.56,25.0,6214,arafed image of a man in a shirt and tie standing in front of a city
56,255.56,25.0,6389,arafed image of a man in a shirt and tie standing in front of a city
57,260.56,25.0,6514,arafed image of a man in a tie and shirt standing in front of a city
58,264.44,25.0,6611,there is a man that is holding a large elephant in his hands
59,267.4,25.0,6684,there is a bag of food that is in the bag
60,269.68,25.0,6742,there is a man standing on the beach with a cart
61,273.88,25.0,6847,there is a man and woman walking on the beach with a surfboard
62,278.56,25.0,6964,there are two people that are holding a bag of food
63,285.36,25.0,7134,arafed woman in a pink dress holding a tablet computer
64,292.36,25.0,7309,arafed asian woman in a pink dress holding a red box
65,296.36,25.0,7409,arafed woman in a pink dress holding a red box
66,302.8,25.0,7570,arafed image of a woman in a pink dress on a news program
67,309.76,25.0,7744,a screenshot of a news anchor with a news clipping of a news anchor
68,316.72,25.0,7918,someone is holding a box of medicine in their hands
69,320.84,25.0,8020,arafed image of a woman in a lab coat and gloves
70,323.28,25.0,8081,someone is holding a box of pills in their hands
71,327.32,25.0,8183,people are standing outside of a restaurant with red chairs
72,328.88,25.0,8222,arafed man in blue shirt and blue shirt holding a bottle
73,332.36,25.0,8309,there are several vials in a box with a lot of blue caps
74,337.36,25.0,8434,a close up of a red background with a tv remote
75,344.36,25.0,8609,arafed image of a man in a shirt and tie standing in front of a citysca
76,347.36,25.0,8684,arafed image of a man in a shirt and tie standing in front of a city
77,352.36,25.0,8809,arafed image of a train coming down the tracks in a foreign country
78,356.8,25.0,8920,arafed image of a man in a suit and tie standing in a hallway
79,363.0,25.0,9075,arafed worker in a factory checking out a machine
80,368.28,25.0,9207,arafed woman in blue shirt working on machine in factory
81,371.16,25.0,9279,arafed machine with a man working on it in a factory
82,373.64,25.0,9341,there are four machines that are sitting in a row
83,374.72,25.0,9368,arafed man in a gray shirt standing in front of a wall
84,380.8,25.0,9520,arafed man in a shirt and tie standing in front of a wall
85,383.88,25.0,9597,someone is making wooden blocks on a conveyor belt in a factory
86,386.4,25.0,9660,arafed worker in a factory with gloves and gloves on
87,389.56,25.0,9739,arafed man in a blue work suit and green gloves holding a wooden frame
88,391.36,25.0,9784,workers in a factory are working on a piece of wood
89,394.0,25.0,9850,workers working in a factory with wooden boards and other items
90,396.52,25.0,9913,someone is making a piece of food with a knife and a knife
91,399.84,25.0,9996,someone is working on a piece of wood with a machine
92,401.88,25.0,10047,there is a machine that is cutting wood with a machine
93,403.52,25.0,10088,arafed warehouse with a lot of wood and a lot of shelves
94,405.24,25.0,10131,arafed woman in a pink dress holding a red purse
95,412.24,25.0,10306,arafed asian woman in a pink dress holding a red object
96,418.0,25.0,10450,there are two men standing next to each other in a room
97,424.76,25.0,10619,people are standing in a room with chairs and a sign
98,429.96,25.0,10749,there are two men sitting at a table talking to each other
99,435.08,25.0,10877,there is a man sitting at a table with a plate of food
100,438.56,25.0,10964,someone is writing something on a piece of paper with a pen
101,441.88,25.0,11047,there is a man sitting at a table with a piece of paper
102,448.2,25.0,11205,arafed image of a man in a shirt and tie holding a wallet
103,455.2,25.0,11380,arafed image of a man in a tie and shirt standing in front of a city skyline
104,460.44,25.0,11511,arafed man sitting in a chair with a newspaper in his lap
105,464.88,25.0,11622,arafed man sitting in a chair with his hands on his chest
106,471.12,25.0,11778,there is a man sitting at a table writing on a piece of paper
107,476.56,25.0,11914,there is a man sitting at a table with a book and pen
108,481.92,25.0,12048,there is a man sitting at a desk with a computer
109,483.56,25.0,12089,there is a man sitting at a desk with a keyboard
110,486.68,25.0,12167,there is a man sitting at a desk with a book and a pen
111,492.48,25.0,12312,there is a man sitting on a chair looking at his cell phone
112,496.08,25.0,12402,there is a man sitting at a desk writing on a piece of paper
113,499.56,25.0,12489,there is a man sitting on a chair with a cell phone
114,505.48,25.0,12637,arafed asian woman in pink dress holding a plate of food
115,512.48,25.0,12812,arafed asian woman in a pink dress holding a red cell phone
116,518.76,25.0,12969,arafed image of a man standing in front of a wall
117,521.92,25.0,13047,a close up of a person in a white shirt and a white shirt
118,527.96,25.0,13199,there are two men in uniform walking down a street
119,531.8,25.0,13294,there is a dog that is standing outside of a building
120,536.08,25.0,13402,there is a picture of a broken wii remote on the floor
121,538.72,25.0,13468,arafed man in a green uniform sitting at a table
122,542.44,25.0,13561,arafed man in white shirt sitting down and talking to someone
123,546.76,25.0,13669,arafed man in a green shirt is looking at a cell phone
124,552.8,25.0,13819,arafed man in white shirt sitting on a chair in a room
125,559.52,25.0,13988,arafed man in a shirt and tie holding a cell phone
126,566.52,25.0,14163,arafed image of a man in a shirt and tie standing in front of a city
127,573.52,25.0,14338,arafed image of a man in a shirt and tie standing in front of a city
128,576.56,25.0,14413,several men sitting at a table with papers and papers in front of them
129,583.0,25.0,14575,woman sitting on a bench with a microphone in her hand
130,587.72,25.0,14693,several people sitting at a table with papers and papers
131,592.96,25.0,14824,two men in military uniforms sitting at a table with papers
132,596.04,25.0,14901,there are two men sitting at a table eating food together
133,600.76,25.0,15019,there are people sitting at a table with food and drinks
134,603.52,25.0,15088,there are many toys that are sitting on a table
135,607.68,25.0,15191,there are people sitting at a table with a yellow tray
136,609.08,25.0,15227,arafed image of a red sphere with a black background
137,610.88,25.0,15272,a close up of a red and white sign with a red background
138,617.2,25.0,15430,a close up of a person in a lab coat and gloves
139,618.4,25.0,15460,arafed display of breads and pastries in a bakery
140,622.8,25.0,15569,someone is cutting bread with a knife in a kitchen
141,629.08,25.0,15727,arafed asian news anchor and a woman in a pink dress
142,636.08,25.0,15902,arafed asian news anchor and a woman in a pink dress
143,639.08,25.0,15977,arafed asian news anchor and a woman in a pink dress
144,645.08,25.0,16127,arafed asian news anchor and a woman in a pink dress
145,652.08,25.0,16302,a close up of a plane flying through a cloudy sky
146,657.08,25.0,16427,arafed man in a lab wearing a mask and gloves
147,662.92,25.0,16573,arafed man in a lab coat and mask looking through a microscope
148,667.32,25.0,16683,a close up of a person in a suit and glasses
149,671.4,25.0,16785,arafed man in a lab coat looking at a computer screen
150,674.2,25.0,16855,a close up of a person in a suit and glasses
151,680.08,25.0,17002,a close up of a man in a medical mask looking through a microscope
152,686.84,25.0,17171,a close up of a person in a suit and glasses
153,693.84,25.0,17346,a close up of a person in a suit and glasses
154,698.72,25.0,17468,a close up of a box of a white box with a blue stripe
155,703.64,25.0,17591,there is a package of pills sitting on a table next to a phone
156,710.0,25.0,17750,there is a box of papers and a folder on a table
157,717.0,25.0,17925,arafed man in a shirt and tie standing in front of a city skyline
158,723.0,25.0,18075,arafed image of a man in a shirt and tie standing in front of a city skyline
159,727.0,25.0,18175,arafed image of a man in a shirt and tie standing in front of a city
160,731.84,25.0,18296,there is a man that is sitting in a car on the road
161,735.0,25.0,18375,a close up of a driver's dashboard with a steering wheel
162,741.0,25.0,18525,arafed truck driving down a highway with a scania logo on the side
163,746.96,25.0,18674,arafed man in a car with a laptop computer on his lap
164,753.36,25.0,18834,a close up of a person in a safety vest standing in front of a truck
165,756.36,25.0,18909,arafed man in a black jacket standing in front of a building
166,762.08,25.0,19052,aerial view of a truck and a car on a road
167,767.72,25.0,19193,a close up of two trucks parked in a parking lot
168,774.72,25.0,19368,arafed news anchor and a woman on a red carpet
169,777.72,25.0,19443,arafed woman in a pink dress standing in front of a tv screen
170,784.72,25.0,19618,arafed news anchor in a pink dress standing in front of a tv
171,787.72,25.0,19693,arafed woman in a pink dress standing in front of a tv set
172,792.24,25.0,19806,arafed woman in a short dress standing in front of a tv
173,795.48,25.0,19887,there are many baguette bags on display in a store
174,800.2,25.0,20005,there is a sandwich on a plate with lettuce and meat
175,804.68,25.0,20117,there is a woman that is looking at a bagel in a glass case
176,810.64,25.0,20266,there is a woman standing in front of a display of bread
177,815.04,25.0,20376,there is a sandwich in a glass case with a tv in the background
178,816.24,25.0,20406,arafed image of a man in a suit and tie sitting at a table with a laptop
179,823.24,25.0,20581,arafed image of a man in a suit and tie sitting at a table with a laptop
180,829.88,25.0,20747,there is a pizza cooking in an oven with a lot of food inside
181,834.6,25.0,20865,someone is cutting bread with a knife on a counter
182,840.48,25.0,21012,arafed image of a man holding a violin in front of a crowd
183,841.48,25.0,21037,there are many people in the audience with their hands up
184,844.92,25.0,21123,someone holding a baguet in front of the eiffel tower
185,851.08,25.0,21277,a close up of a woman in a pink dress holding a book
186,858.08,25.0,21452,a close up of a woman in a pink dress holding a red book
187,863.96,25.0,21599,a close up of a woman in a dress holding a red purse
188,870.92,25.0,21773,a close up of a poster on a wall in a room
189,874.04,25.0,21851,people looking at a painting of a woman in a dress
190,878.84,25.0,21971,arafed woman in a plaid shirt is talking to a reporter
191,882.2,25.0,22055,there is a painting of a group of people holding flags
192,886.96,25.0,22174,a close up of a woman in a plaid shirt standing in front of a wall
193,893.28,25.0,22332,there are people walking down a hallway with paintings on the wall
194,899.68,25.0,22492,arafed image of a man in a shirt and tie standing in front of a city
195,906.68,25.0,22667,arafed image of a man in a shirt and tie standing in front of a city
196,913.68,25.0,22842,arafed image of a man in a shirt and tie standing in front of a city
197,920.36,25.0,23009,arafed image of a man in a tie and shirt on a news set
198,927.2,25.0,23180,there is a giant ice cream cone with a gold design on it
199,930.2,25.0,23255,there are two men standing outside of a store taking a picture
200,934.24,25.0,23356,someone taking a picture of a man holding a cell phone
201,940.92,25.0,23523,araf yaa's bakery in a city with a sign that says asura yaa
202,944.88,25.0,23622,arafed man standing in front of a large ice cream cone
203,951.12,25.0,23778,people are standing in a store with a lot of food
204,955.52,25.0,23888,arafed man in a red shirt and a white hat is cutting a cake
205,957.92,25.0,23948,there are two men in a kitchen preparing cakes on a table
206,963.92,25.0,24098,arafed image of a red background with a white text
207,970.24,25.0,24256,a woman in a pink dress holding a book and a picture of a city
208,973.24,25.0,24331,arafed image of a man in a shirt and tie standing in front of a city
209,980.24,25.0,24506,arafed image of a man in a shirt and tie standing in front of a city
210,985.64,25.0,24641,there is a man in a tie standing in front of a screen
211,991.0,25.0,24775,a group of people sitting in a room with a microphone
212,993.88,25.0,24847,several people sitting at a table with a man taking a picture
213,996.04,25.0,24901,there is a woman in a yellow dress on stage with a man in a red suit
214,1000.04,25.0,25001,arafed woman in a red dress and a red hat on stage
215,1004.48,25.0,25112,arafed image of a man in a suit and tie talking to a reporter
216,1008.92,25.0,25223,arafed group of women in traditional dress standing on stage
217,1013.84,25.0,25346,arafed man in a suit and glasses talking to a reporter
218,1018.32,25.0,25458,a close up of a woman wearing a crown and a tia
219,1021.76,25.0,25544,arafed woman in a blue hat and white dress dancing
220,1028.52,25.0,25713,arafed woman in a black jacket and a gold medal
221,1035.52,25.0,25888,arafed woman in a black jacket and a gold medal
222,1039.52,25.0,25988,arafed image of a woman in a white dress on a stage
223,1041.96,25.0,26049,arafed woman in a red dress walking on a stage
224,1044.72,25.0,26118,arafed woman in a yellow dress walking down a runway
225,1046.32,25.0,26158,a close up of a man holding a football ball in front of a tv
226,1053.08,25.0,26327,a close up of a man holding a red box in front of a tv
227,1056.08,25.0,26402,arafed image of a man holding a tennis racket in front of a tv screen
228,1062.32,25.0,26558,arafed soccer player in yellow jersey celebrating a goal
229,1067.88,25.0,26697,arafed soccer game with players on the field and a referee watching
230,1073.64,25.0,26841,arafed soccer players are congratulating each other on the field
231,1076.92,25.0,26923,arafed man in a black jacket and glasses standing in front of a screen
232,1082.0,25.0,27050,there is a soccer player sliding into the ground to kick the ball
233,1086.24,25.0,27156,araffes playing soccer on a soccer field with a crowd watching
234,1093.24,25.0,27331,arafed news anchor with a woman in a pink dress and a man in a blue shirt
235,1099.88,25.0,27497,arafed news set with a man and a woman standing in front of a tv screen
236,1104.4,25.0,27610,arafed view of a news set with a man and woman
